#f_clk: 4096
iteration,n_ticks
626,18440
627,18456
628,18448
629,18456
630,18448
631,18456
632,18440
633,18456
634,18456
635,18448
636,18440
637,18440
638,18456
639,18440
640,18440
641,18456
642,18448
643,18448
644,18448
645,18456
646,18448
647,18440
648,18440
649,18456
650,18448
651,18448
652,18440
653,18456
654,18440
655,18456
656,18440
657,18440
658,18440
659,18456
660,18440
661,18456
662,18456
663,18456
664,18440
665,18456
666,18456
667,18456
668,18440
669,18448
670,18440
671,18456
672,18440
673,18440
674,18456
675,18448
676,18440
677,18448
678,18456
679,18456
680,18440
681,18448
682,18448
683,18440
684,18440
685,18440
686,18448
687,18448
688,18448
689,18440
690,18440
691,18440
692,18440
693,18448
694,18448
695,18448
696,18456
697,18440
698,18440
699,18440
700,18440
701,18456
702,18440
703,18456
704,18440
705,18448
706,18440
707,18440
708,18448
709,18456
710,18448
711,18440
712,18440
713,18440
714,18440
715,18440
716,18440
717,18440
718,18440
719,18440
720,18440
721,18440
722,18440
723,18440
724,18440
725,18416
726,18440
727,18440
728,18440
729,18440
730,18440
731,18440
732,18440
733,18416
734,18440
735,18440
736,18424
737,18440
738,18440
739,18408
740,18424
741,18440
742,18424
743,18440
744,18440
745,18424
746,18424
747,18440
748,18424
749,18408
750,18416
751,18416
752,18440
753,18440
754,18424
755,18424
756,18424
757,18440
758,18408
759,18408
760,18408
761,18440
762,18440
763,18440
764,18440
765,18424
766,18440
767,18416
768,18424
769,18424
770,18440
771,18440
772,18416
773,18424
774,18424
775,18440
776,18440
777,18424
778,18440
779,18424
780,18416
781,18424
782,18408
783,18408
784,18416
785,18424
786,18408
787,18440
788,18424
789,18408
790,18424
791,18408
792,18408
793,18416
794,18416
795,18416
796,18400
797,18408
798,18416
799,18416
800,18424
801,18416
802,18416
803,18392
804,18408
805,18408
806,18392
807,18408
808,18408
809,18400
810,18392
811,18408
812,18408
813,18416
814,18416
815,18392
816,18408
817,18408
818,18408
819,18416
820,18392
821,18408
822,18416
823,18408
824,18408
825,18416
826,18408
827,18408
828,18408
829,18400
830,18400
831,18408
832,18416
833,18416
834,18416
835,18416
836,18400
837,18408
838,18408
839,18408
840,18392
841,18408
842,18408
843,18408
844,18416
845,18408
846,18416
847,18408
848,18416
849,18416
850,18416
851,18408
852,18408
853,18392
854,18392
855,18408
856,18392
857,18416
858,18408
859,18416
860,18392
861,18392
862,18392
863,18408
864,18408
865,18376
866,18392
867,18400
868,18392
869,18408
870,18408
871,18408
872,18408
873,18408
874,18392
875,18384
876,18400
877,18392
878,18392
879,18392
880,18392
881,18376
882,18392
883,18392
884,18384
885,18384
886,18408
887,18384
888,18392
889,18408
890,18408
891,18392
892,18392
893,18408
894,18376
895,18400
896,18408
897,18392
898,18392
899,18392
900,18392
901,18392
902,18408
903,18400
904,18392
905,18392
906,18392
907,18400
908,18408
909,18408
910,18384
911,18392
912,18408
913,18392
914,18392
915,18376
916,18376
917,18384
918,18376
919,18408
920,18376
921,18392
922,18400
923,18392
924,18400
925,18408
926,18392
927,18376
928,18376
929,18392
930,18376
931,18376
932,18400
933,18376
934,18400
935,18400
936,18376
937,18400
938,18400
939,18376
940,18384
941,18392
942,18384
943,18392
944,18392
945,18376
946,18408
947,18400
948,18400
949,18400
950,18384
951,18392
952,18400
953,18376
954,18392
955,18392
956,18376
957,18408
958,18392
959,18408
960,18392
961,18392
962,18392
963,18400
964,18400
965,18376
966,18400
967,18384
968,18400
969,18376
970,18376
971,18376
972,18392
973,18376
974,18400
975,18384
976,18392
977,18408
978,18392
979,18384
980,18376
981,18400
982,18376
983,18392
984,18384
985,18392
986,18392
987,18384
988,18376
989,18392
990,18376
991,18376
992,18376
993,18376
994,18376
995,18384
996,18384
997,18376
998,18384
999,18384
1000,18376
1001,18392
1002,18384
1003,18384
1004,18384
1005,18384
1006,18376
1007,18376
1008,18384
1009,18392
1010,18392
1011,18392
1012,18392
1013,18384
1014,18392
1015,18384
1016,18392
1017,18392
1018,18376
1019,18376
1020,18384
1021,18392
1022,18376
1023,18376
1024,18392
1025,18392
1026,18392
1027,18384
1028,18384
1029,18392
1030,18384
1031,18384
1032,18376
1033,18384
1034,18376
1035,18392
1036,18376
1037,18376
1038,18384
1039,18384
1040,18376
1041,18376
1042,18376
1043,18392
1044,18384
1045,18376
1046,18376
1047,18384
1048,18384
1049,18376
1050,18392
1051,18392
1052,18384
1053,18384
1054,18384
1055,18384
1056,18384
1057,18392
1058,18376
1059,18384
1060,18376
1061,18376
1062,18376
1063,18360
1064,18376
1065,18384
1066,18384
1067,18376
1068,18384
1069,18376
1070,18376
1071,18376
1072,18376
1073,18384
1074,18376
1075,18384
1076,18384
1077,18384
1078,18384
1079,18376
1080,18384
1081,18392
1082,18376
1083,18384
1084,18376
1085,18376
1086,18384
1087,18384
1088,18376
1089,18376
1090,18376
1091,18384
1092,18376
1093,18376
1094,18376
1095,18376
1096,18376
1097,18376
1098,18384
1099,18384
1100,18384
1101,18376
1102,18376
1103,18384
1104,18384
1105,18384
1106,18384
1107,18376
1108,18384
1109,18384
1110,18384
1111,18376
1112,18392
1113,18376
1114,18376
1115,18384
1116,18376
1117,18376
1118,18376
1119,18376
1120,18376
1121,18384
1122,18376
1123,18376
1124,18384
1125,18376
1126,18376
1127,18384
1128,18384
1129,18376
1130,18376
1131,18376
1132,18384
1133,18376
1134,18384
1135,18376
1136,18368
1137,18368
1138,18376
1139,18384
1140,18376
1141,18376
1142,18360
1143,18376
1144,18360
1145,18376
1146,18376
1147,18376
1148,18384
1149,18368
1150,18376
1151,18384
1152,18384
1153,18376
1154,18376
1155,18376
1156,18376
1157,18376
1158,18384
1159,18376
1160,18384
1161,18376
1162,18384
1163,18376
1164,18376
1165,18384
1166,18384
1167,18376
1168,18368
1169,18376
1170,18360
1171,18384
1172,18376
1173,18376
1174,18376
1175,18384
1176,18384
1177,18360
1178,18360
1179,18384
1180,18376
1181,18384
1182,18376
1183,18376
1184,18368
1185,18376
1186,18360
1187,18376
1188,18376
1189,18376
1190,18376
1191,18368
1192,18376
1193,18376
1194,18376
1195,18376
1196,18376
1197,18376
1198,18368
1199,18376
1200,18376
1201,18368
1202,18360
1203,18376
1204,18376
1205,18360
1206,18376
1207,18360
1208,18368
1209,18376
1210,18360
1211,18360
1212,18360
1213,18376
1214,18376
1215,18360
1216,18376
1217,18376
1218,18376
1219,18376
1220,18376
1221,18376
1222,18368
1223,18384
1224,18376
1225,18376
1226,18360
1227,18376
1228,18376
1229,18384
1230,18376
1231,18360
1232,18376
1233,18376
1234,18376
1235,18376
1236,18368
1237,18384
1238,18376
1239,18376
1240,18360
1241,18376
1242,18360
1243,18376
1244,18376
1245,18376
1246,18344
1247,18360
1248,18376
1249,18376
1250,18376
1251,18376
1252,18376
1253,18360
1254,18376
1255,18376
1256,18376
1257,18352
1258,18376
1259,18376
1260,18376
1261,18376
1262,18360
1263,18360
1264,18360
1265,18360
1266,18360
1267,18360
1268,18360
1269,18376
1270,18376
1271,18360
1272,18376
1273,18376
1274,18360
1275,18376
1276,18368
1277,18360
1278,18376
1279,18376
1280,18376
1281,18368
1282,18376
1283,18376
1284,18376
1285,18376
1286,18376
1287,18360
1288,18376
1289,18376
1290,18384
1291,18376
1292,18368
1293,18360
1294,18360
1295,18360
1296,18376
1297,18368
1298,18376
1299,18376
1300,18376
1301,18376
1302,18384
1303,18376
1304,18376
1305,18376
1306,18376
1307,18376
1308,18376
1309,18344
1310,18376
1311,18376
1312,18376
1313,18368
1314,18376
1315,18376
1316,18360
1317,18360
1318,18360
1319,18376
1320,18360
1321,18360
1322,18352
1323,18344
1324,18344
1325,18360
1326,18368
1327,18360
1328,18344
1329,18376
1330,18376
1331,18352
1332,18360
1333,18376
1334,18360
1335,18376
1336,18344
1337,18344
1338,18376
1339,18360
1340,18360
1341,18376
1342,18368
1343,18376
1344,18360
1345,18376
1346,18360
1347,18376
1348,18360
1349,18376
1350,18368
1351,18368
1352,18376
1353,18360
1354,18376
1355,18376
1356,18360
1357,18368
1358,18376
1359,18376
1360,18360
1361,18360
1362,18376
1363,18368
1364,18376
1365,18360
1366,18376
1367,18376
1368,18376
1369,18360
1370,18376
1371,18360
1372,18360
1373,18360
1374,18376
1375,18376
1376,18376
1377,18376
1378,18376
1379,18376
1380,18376
1381,18376
1382,18360
1383,18360
1384,18360
1385,18360
1386,18376
1387,18360
1388,18376
1389,18376
1390,18360
1391,18360
1392,18352
1393,18368
1394,18376
1395,18376
1396,18360
1397,18344
1398,18344
1399,18376
1400,18352
1401,18352
1402,18360
1403,18360
1404,18368
1405,18360
1406,18376
1407,18360
1408,18360
1409,18344
1410,18368
1411,18360
1412,18360
1413,18352
1414,18360
1415,18376
1416,18376
1417,18376
1418,18376
1419,18352
1420,18376
1421,18360
1422,18376
1423,18376
1424,18376
1425,18376
1426,18344
1427,18376
1428,18360
1429,18360
1430,18360
1431,18360
1432,18376
1433,18376
1434,18376
1435,18376
1436,18376
1437,18360
1438,18368
1439,18344
1440,18360
1441,18368
1442,18360
1443,18352
1444,18376
1445,18360
1446,18344
1447,18376
1448,18352
1449,18360
1450,18360
1451,18360
1452,18360
1453,18344
1454,18376
1455,18360
1456,18352
1457,18344
1458,18344
1459,18352
1460,18344
1461,18368
1462,18360
1463,18376
1464,18368
1465,18376
1466,18368
1467,18344
1468,18376
1469,18368
1470,18344
1471,18344
1472,18352
1473,18376
1474,18368
1475,18376
1476,18360
1477,18360
1478,18376
1479,18360
1480,18376
1481,18360
1482,18352
1483,18368
1484,18376
1485,18368
1486,18376
1487,18368
1488,18360
1489,18360
1490,18360
1491,18376
1492,18360
1493,18368
1494,18376
1495,18360
1496,18360
1497,18376
1498,18344
1499,18368
1500,18360
1501,18376
1502,18376
1503,18376
1504,18376
1505,18344
1506,18376
1507,18368
1508,18344
1509,18360
1510,18360
1511,18352
1512,18344
1513,18368
1514,18360
1515,18352
1516,18368
1517,18344
1518,18344
1519,18344
1520,18368
1521,18352
1522,18368
1523,18344
1524,18344
1525,18360
1526,18344
1527,18352
1528,18344
1529,18344
1530,18360
1531,18368
1532,18352
1533,18368
1534,18344
1535,18352
1536,18344
1537,18368
1538,18360
1539,18352
1540,18360
1541,18344
1542,18360
1543,18344
1544,18360
1545,18360
1546,18344
1547,18352
1548,18360
1549,18360
1550,18376
1551,18344
1552,18352
1553,18376
1554,18360
1555,18360
1556,18376
1557,18368
1558,18376
1559,18376
1560,18376
1561,18360
1562,18360
1563,18376
1564,18376
1565,18344
1566,18376
1567,18360
1568,18376
1569,18344
1570,18360
1571,18344
1572,18344
1573,18368
1574,18344
1575,18376
1576,18360
1577,18344
1578,18360
1579,18344
1580,18344
1581,18344
1582,18360
1583,18344
1584,18360
1585,18344
1586,18376
1587,18360
1588,18352
1589,18344
1590,18352
